,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
291,-12.37252,856.8245199999999,1385.09216,-56.24548000000001,775.07239,1139.59766,-50.45081,623.00647,935.06073
292,-3.20034,836.16724,1384.8173800000002,-44.99078,748.2916299999999,1139.9067400000001,-33.0287,592.64624,938.94202
293,7.0142,816.33069,1383.2074,-31.403270000000003,724.80615,1139.03186,-14.487110000000001,564.94775,942.50989
294,17.58831,797.36487,1380.1969,-17.61655,701.20154,1138.89319,4.39096,538.55334,944.78046
295,27.578409999999998,778.98505,1377.57324,-4.7611,676.79089,1138.8137199999999,23.29309,513.37122,946.1505099999999
296,39.12454,761.87762,1374.21497,10.11505,655.09302,1137.33716,42.42838,491.04199000000006,946.47345
297,52.10329,745.39221,1370.64063,25.41483,636.1610099999999,1134.81506,61.82695,470.85327,945.18365
298,64.19667,728.3405799999999,1368.35876,39.29234,616.8393599999999,1133.32422,81.3224,451.63275,943.96155
299,76.13199,712.41479,1365.6969,53.98806999999999,598.23358,1132.40625,100.10289,434.09418,942.5609099999999
300,88.23019000000001,697.84723,1362.59229,69.50771,582.3654799999999,1129.96863,118.76468999999999,419.33167000000003,940.0918
301,100.00684,682.7218,1361.5449199999998,84.51675,567.0741,1127.9548300000001,137.85396,406.38464,937.4617300000001
302,113.02585,667.9295,1360.82166,99.31177,552.43945,1126.61328,156.3325,393.86206,934.9765
303,126.79711999999999,654.0208700000001,1359.53271,113.64833,539.1592400000001,1125.06641,174.1642,382.53827,932.58063
304,139.21843,639.91455,1359.9122300000001,127.96042,525.8313,1124.98621,191.87804,372.38049,930.1741300000001
305,152.60855,626.00995,1361.27905,143.02972,513.7605,1124.9259,208.9532,362.9328,928.59558
306,167.01445,612.10541,1363.46545,157.88284,502.31299,1124.93945,225.06458999999998,354.76117,927.96063
307,179.1819,597.29822,1366.5819099999999,172.55743,489.60875999999996,1127.1273199999998,240.99864,347.05548,926.84955
308,191.6297,582.56042,1369.10474,187.2514,476.88324000000006,1129.20044,256.6416,338.83977999999996,925.37109
309,206.22881,567.98279,1371.5697,201.63242,464.70807,1129.61523,271.71155,330.43097,923.69159
310,220.33327000000003,553.0744599999999,1373.73926,215.80771000000001,453.11444000000006,1129.8925800000002,287.09698,322.28943,921.5459599999999
311,234.18684,538.23816,1374.77295,229.68533,441.24377000000004,1130.44128,302.33246,314.16577,919.4943800000001
312,249.01601000000002,523.35742,1376.03577,243.85504,427.61554,1130.73523,317.2085,305.61072,917.6025400000001
313,263.43771,509.16205,1376.89331,258.6254,414.00903,1131.16467,332.35443,297.05756,915.9650300000001
314,277.60138,495.53442,1377.01111,273.49805,401.67992999999996,1132.10107,347.55109,288.7608,914.79205
315,292.35815,481.72757,1378.14978,288.63287,389.44049,1132.92334,363.05742999999995,280.49352999999996,913.4807099999999
316,307.71561,468.21222,1379.80249,304.21796,377.7478,1133.7164300000002,378.29425,272.70752000000005,912.3472300000001
317,323.44305,454.75879000000003,1381.4946300000001,319.12662,366.36182,1134.9782699999998,392.94415,265.29437,911.98456
318,338.87396,441.33954000000006,1383.49207,333.616,354.25342,1136.3817099999999,408.66919,257.32562,911.633
319,354.61206,428.34589000000005,1385.0022,349.45642000000004,342.61597,1137.15479,424.95789,249.32672000000002,911.24579
320,370.73828,415.90778,1386.08826,365.55523999999997,332.03533999999996,1137.63086,440.43976,242.1889,910.93024
321,386.61365,403.995,1386.9229699999999,380.52063,321.12878,1139.00012,456.51525999999996,234.81671,910.10413
322,402.17264,392.14294,1386.89453,396.53192,309.53021,1139.67395,473.67834000000005,226.99603,909.00183
323,417.49405,380.57232999999997,1386.5330800000002,414.22393999999997,298.4942,1138.46667,490.80927,219.82103999999998,907.7583
324,433.06710999999996,369.26507999999995,1386.54688,431.01825,288.40442,1137.17188,508.47803,212.42615,906.38177
325,449.02164000000005,357.51044,1386.32373,447.13867,278.46997000000005,1136.48621,527.1456900000001,204.86383,905.2565300000001
326,464.92184000000003,345.80151,1386.02124,464.45062,268.28595,1135.89697,545.487,198.41736,904.0668900000001
327,480.84012,334.83411,1386.0836199999999,482.22638,258.18445,1135.4425,563.3689,192.50037,902.60815
328,497.10013,324.00714,1385.83984,499.38605,248.65979,1134.92102,581.8255,186.7627,901.06671
329,513.23401,312.90442,1385.42578,516.75214,239.28876,1133.72437,600.77814,181.50177,899.3300800000001
330,529.8118900000001,301.87323,1384.87695,534.81628,229.74663999999999,1132.38147,619.703,176.5899,897.6143800000001
331,546.93701,290.83972,1383.7168,553.10449,220.56897,1131.17969,638.78693,172.07056,895.85468
332,563.05493,280.39832,1382.4873,571.92517,211.63635,1129.78271,658.4657,167.88477,893.8147
333,578.9630099999999,270.9007,1381.4243199999999,590.55078,203.31842,1128.41382,678.23853,164.0719,891.9042400000001
334,595.27478,261.17132999999995,1380.3302,608.66351,195.53186000000002,1126.89502,697.81616,161.02545,890.23181
335,611.1220099999999,251.65662000000003,1379.2745400000001,627.42249,187.32544,1125.31079,717.63348,158.56866000000002,888.60461
336,626.91431,242.87524,1378.1417199999999,646.10114,179.49011000000002,1123.75134,737.39661,156.50316999999998,886.87665
337,642.52472,233.82001,1376.7548800000002,664.1441,172.45782,1121.7406,757.19305,154.9328,885.0438800000001
338,657.80005,224.83807000000002,1375.37769,682.1275,165.58093,1119.64014,777.1180400000001,153.66412,883.4682
339,672.94604,216.37462999999997,1374.39636,699.71021,158.75879,1118.17749,796.17761,152.7489,882.33331
340,687.72021,208.01868000000002,1373.68591,716.77637,152.15131,1117.14868,814.29974,152.1604,881.5676900000001
341,702.3230599999999,200.11237,1373.31421,733.43884,146.35223,1116.20447,831.65875,151.81024,881.1148699999999
342,716.6375099999999,192.98743000000002,1373.68909,749.26093,141.38708,1115.8192099999999,848.15131,151.57526000000001,881.3113400000001
343,730.65637,186.32977,1374.66919,764.95758,135.62909,1116.26135,864.3485699999999,151.38654,882.3651699999999
344,744.2803299999999,180.13988999999998,1375.65076,780.85663,129.42413,1116.9442099999999,879.69305,151.4325,883.5283800000001
345,756.86328,174.4552,1376.29236,795.6301900000001,124.76221000000001,1117.5919199999998,893.94427,151.44183,884.4447
346,768.38892,169.20703,1376.60181,809.11713,120.62427,1118.04175,907.9929800000001,151.52271000000002,885.44635
347,778.9223599999999,164.77307,1376.31421,821.78809,116.11237,1117.9312699999998,921.3045,151.71399,886.20355
