,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16
1848,-306.54169,133.25481000000002,1343.52417,-389.23926,129.10257,1238.1178,-473.83588,130.25537,1131.19312,-465.51111,40.255340000000004,899.10822,-135.08777,537.6962900000001,1446.1525900000001,-250.25017000000003,708.64435,1227.27319,-201.81248,750.93823,987.0047,-125.08313000000001,351.9415,1241.4523900000002,-443.00005999999996,452.52590999999995,1133.44775,,,,-266.69601,255.12812999999997,759.88184,-280.80487,290.60019,470.46795999999995,-288.2876,279.98175,115.62342,-260.51419,591.45758,1017.72961,-216.57722,604.88672,491.11273,-373.87973,571.49652,129.76176
1849,-308.32462000000004,134.32996,1342.09827,-391.91415,130.42212,1237.8925800000002,-476.46935999999994,132.32547,1131.32605,-471.39910999999995,43.28987,898.6701699999999,-133.4594,537.7879,1444.42603,-247.79256,710.12677,1225.26465,-196.57191,749.7277799999999,985.17114,-126.72482,351.6864,1239.38489,-444.79175,454.45102,1134.25549,,,,-269.07268999999997,256.05276000000003,760.33405,-280.77621,291.30814,470.73669,-288.67217999999997,279.5871,116.15155,-262.16055,593.35181,1017.5518800000001,-219.75371,610.04749,492.18359000000004,-381.91132000000005,569.33643,129.25728999999998
1850,-307.81924,137.19345,1340.375,-391.86932,133.97675,1236.84167,-479.13272,134.65152,1131.74683,-476.73895,47.84328,898.6389800000001,-131.85481000000001,539.47876,1441.71216,-244.81187000000003,710.84546,1223.6969,-191.21899,747.4838900000001,983.02533,-128.48178000000001,352.07703,1237.32666,-446.51889000000006,455.85217,1134.18665,,,,-270.3031,256.90103,760.4617900000001,-281.00415,291.85303,470.67297,-288.67217999999997,279.5871,116.15155,-265.05325,594.7030599999999,1016.177,-226.07573,608.55304,489.76974,-388.16827,568.21704,128.09497
1851,-310.37439,137.39713,1339.8809800000001,-394.68777,134.74376999999998,1236.80591,-481.88184,135.64526,1135.7023900000002,-481.33035,51.52885,898.0953400000001,-131.38925,540.26605,1439.96521,-242.50652999999997,712.38257,1220.70532,-186.11518999999998,746.29211,980.57526,-129.2708,353.22693,1235.2113,-448.18579000000005,457.44153,1134.32178,,,,-273.32842999999997,257.28412000000003,761.4533700000001,-281.97153,292.05865,470.83453,-288.67217999999997,279.5871,116.15155,-267.28253,595.52887,1014.38049,-234.64951000000002,600.89166,486.31372000000005,-393.87784,567.15204,125.84911000000001
1852,-310.50998,140.02737,1339.32312,-394.91927999999996,137.71327,1235.97815,-484.70709000000005,137.73932,1136.15759,-485.39660999999995,54.9766,897.9137599999999,-130.66519,542.5043900000001,1437.19592,-240.78569,713.7490799999999,1216.76892,-181.10527,743.4556299999999,977.3054199999999,-131.53271,355.13284,1234.1951900000001,-449.77774000000005,459.18307000000004,1134.1743199999999,,,,-274.62247,258.39825,761.5791,-282.65726,292.17856,470.3613,-288.67217999999997,279.5871,116.15155,-271.64935,600.2617799999999,1013.02234,-241.78534,598.86707,483.84442,-398.56354,565.75848,122.87518
1853,-311.20151,143.623,1339.05396,-396.38192999999995,140.94037,1236.7948,-483.78067000000004,143.42215,1132.15112,-488.19971,58.872009999999996,897.50031,-131.25978,545.15851,1435.2959,-239.28935,714.9328,1212.71484,-176.37666000000002,740.94867,973.8101800000001,-132.5401,356.64743,1232.57068,-451.9989,461.06729,1133.9597199999998,,,,-276.73828,259.0759,762.4363400000001,-283.10696,292.23926,470.40988,-289.20441,279.11578,116.05038,-274.2677,600.4223599999999,1011.9495199999999,-247.39368,603.41669,485.50833,-402.09862999999996,564.07355,120.36746000000001
1854,-312.04507,146.35928,1339.3029800000002,-396.73941,143.64821,1236.53088,-486.04599,145.67821,1132.82068,-491.08853,62.549330000000005,898.03162,-132.2052,548.37549,1432.7523199999998,-238.39548,716.74371,1208.66541,-171.91443999999998,738.7905900000001,970.2185699999999,-133.78108,359.44809,1232.02966,-454.52005,462.65927,1133.50818,,,,-278.20547,260.66739,762.48956,-283.14505,292.41885,470.62149000000005,-289.20441,279.11578,116.05038,-277.20035,601.7275400000001,1009.9667400000001,-255.44057999999998,599.27539,480.63971,-404.6394,564.22369,117.46076000000001
1855,,,,-398.0816,147.14018000000002,1236.78809,-486.00012000000004,148.79124,1133.56165,-492.93539000000004,65.52045,898.87134,-133.10834,553.49847,1430.2512199999999,-237.6483,718.95007,1203.75305,-167.74091,735.34308,965.7089199999999,-135.73888,362.68985,1230.76172,-456.35764000000006,464.78705,1133.19824,,,,-280.31528,260.80756,762.89764,-283.57196,292.55496,471.45800999999994,-289.20441,279.11578,116.05038,-280.1001,603.84802,1008.38025,-262.85602,591.44934,477.13735999999994,-406.17075,565.03839,114.81617
1856,-313.05261,155.32831000000002,1340.4211400000002,-398.17377,150.86685,1237.7735599999999,-486.81557999999995,150.96373,1133.93616,-491.94104000000004,68.05494,899.0811800000001,-134.77087,558.25641,1427.6792,-236.64357,722.0581099999999,1198.3457,-164.00093,732.86469,961.06915,-137.18223999999998,366.92365,1229.0022,-458.63742,466.54357999999996,1132.41968,,,,-281.44513,262.72116,763.1220099999999,-284.35843,291.63547,472.28725999999995,-288.88277999999997,279.2196,116.11516999999999,-283.6236,604.49988,1007.17975,-266.08969,596.40094,476.67852999999997,-407.41531000000003,563.61609,112.62598999999999
1857,,,,-399.94788,153.39175,1239.05396,-487.55734,152.93623,1135.04785,-491.10402999999997,70.83131,900.14722,-135.82111,563.97699,1424.95959,-235.82811,724.87146,1192.4273699999999,-160.19861,729.9566,955.8793300000001,-139.44521,371.66794,1228.83679,-461.68225,468.70273,1131.6856699999998,,,,-283.32129,263.22092000000004,763.25513,-284.35843,291.63547,472.28725999999995,-289.20441,279.11578,116.05038,-287.77679,606.1153,1006.44562,-269.50708,596.9486099999999,475.05774,-406.81946,562.79218,112.50365
